network_name,owner_derived_network_name,clinic_name,enrollment_id,npi,ccn,address,address2,city,county,region_scope,zip,phone,lat,lon,geocode_match,matched_address,geocode_source,source
PRIVIA MEDICAL GROUP WASHINGTON PLLC,PRIVIA MEDICAL GROUP WASHINGTON PLLC,WALLA WALLA CLINIC,O20110111000930,1346441979,503846,55W TIETAN ST,,WALLA WALLA,Walla Walla,Eastern WA,99362,5095253720,46.049398317996,-118.331714494061,Match,"55 W TIETAN ST, WALLA WALLA, WA, 99362",Census geocoder,CMS RHC Enrollments 2026-04-01
PROSSER PUBLIC HOSPITAL DISTRICT OF BENTON COUNTY,PROSSER PUBLIC HOSPITAL DISTRICT OF BENTON COUNTY,BENTON CITY CLINIC,O20100622000300,1437199072,508554,701 DALE AVE,,BENTON CITY,Benton,Eastern WA,99320,5095884075,46.2632793,-119.4860041,No_Match,,Nominatim street fallback,CMS RHC Enrollments 2026-04-01
PROSSER PUBLIC HOSPITAL DISTRICT OF BENTON COUNTY,PROSSER PUBLIC HOSPITAL DISTRICT OF BENTON COUNTY,PROSSER MEMORIAL HEALTH GRANDVIEW CLINIC,O20190222000964,1376026237,508588,1003 WALLACE WAY,,GRANDVIEW,Yakima,Eastern WA,98930,5092031080,46.266805403129,-119.921797994376,Match,"1003 WALLACE WAY, GRANDVIEW, WA, 98930",Census geocoder,CMS RHC Enrollments 2026-04-01
PROSSER PUBLIC HOSPITAL DISTRICT OF BENTON COUNTY,PROSSER PUBLIC HOSPITAL DISTRICT OF BENTON COUNTY,PROSSER PMH FAMILY MEDICINE,O20170926001052,1477088391,508582,336 CHARDONNAY AVE,STE A,PROSSER,Benton,Eastern WA,99350,5097861576,46.218829990028,-119.786942604534,Match,"336 CHARDONNAY AVE, PROSSER, WA, 99350",Census geocoder,CMS RHC Enrollments 2026-04-01
PROVIDENCE HEALTH & SERVICES - WASHINGTON,PROVIDENCE HEALTH & SERVICES - WASHINGTON,PMG SW WA ROCHESTER FAM MED,O20050602000450,1205931508,503839,18313 PAULSON ST. SW,SUITE A,ROCHESTER,Thurston,Western/other WA,98579,3608278400,46.821593842587,-123.085867394917,Match,"18313 PAULSON ST SW, ROCHESTER, WA, 98579",Census geocoder,CMS RHC Enrollments 2026-04-01
PROVIDENCE HEALTH & SERVICES WASHINGTON,PROVIDENCE HEALTH & SERVICES - WASHINGTON,PROVIDENCE FAMILY MEDICINE CHEWELAH,O20221103000988,1639892672,503930,100 W SOUTH AVE,,CHEWELAH,Stevens,Eastern WA,99109,5099358111,48.270102137163,-117.717078168685,Match,"100 W SOUTH AVE, CHEWELAH, WA, 99109",Census geocoder,CMS RHC Enrollments 2026-04-01
PROVIDENCE HEALTH & SERVICES WASHINGTON,PROVIDENCE HEALTH & SERVICES - WASHINGTON,PROVIDENCE MEDICAL GROUP SOUTHWEST WASHINGTON,O20220830002329,1225763949,503929,1010 S SCHEUBER RD,,CENTRALIA,Lewis,Western/other WA,98531,3608277966,46.727447095715,-122.99330820815,Match,"1010 SCHEUBER RD N, CENTRALIA, WA, 98531",Census geocoder,CMS RHC Enrollments 2026-04-01
PROVIDENCE HEALTH & SERVICES WASHINGTON,PROVIDENCE HEALTH & SERVICES - WASHINGTON,PROVIDENCE NORTHEAST WASHINGTON MEDICAL GROUP,O20130510000593,1255685822,503865,1200 EAST COLUMBIA AVE,,COLVILLE,Stevens,Eastern WA,99114,5096843701,48.541215513262,-117.891042007744,Match,"1200 E COLUMBIA AVE, COLVILLE, WA, 99114",Census geocoder,CMS RHC Enrollments 2026-04-01
PROVIDENCE HEALTH & SERVICES WASHINGTON,PROVIDENCE HEALTH & SERVICES - WASHINGTON,PROVIDENCE NORTHEAST WASHINGTON MEDICAL GROUP,O20130510000564,1538413109,503860,840 SOUTH MEYERS STREET,,KETTLE FALLS,Stevens,Eastern WA,99141,5096857848,48.605132776955,-118.0558732308,Match,"840 S MEYERS ST, KETTLE FALLS, WA, 99141",Census geocoder,CMS RHC Enrollments 2026-04-01
PUBLIC HOSPITAL DIST NO 1 SKAGIT,PUBLIC HOSPITAL DIST NO 1 SKAGIT,CAMANO COMMUNITY HEALTH CLINIC,O20031218001052,1508932427,508502,127 NE CAMANO DR,STE A,CAMANO ISLAND,Island,Western/other WA,98282,3603875398,48.213580730755,-122.478111142477,Match,"127 NE CAMANO DR, CAMANO ISLAND, WA, 98282",Census geocoder,CMS RHC Enrollments 2026-04-01
PUBLIC HOSPITAL DIST NO 1 SKAGIT,PUBLIC HOSPITAL DIST NO 1 SKAGIT,SKAGIT REGIONAL HEALTH - DARRINGTON FAMILY MEDICINE,O20160603001680,1013064575,508509,1190 RIDDLE ST,,DARRINGTON,Snohomish,Western/other WA,98241,3604361055,48.253006741066,-121.608293796519,Match,"1190 RIDDLE ST, DARRINGTON, WA, 98241",Census geocoder,CMS RHC Enrollments 2026-04-01
PUBLIC HOSPITAL DISTRICT 3 OF PACIFIC COUNTY,PUBLIC HOSPITAL DISTRICT 3 OF PACIFIC COUNTY,NASELLE CLINIC,O20041119000815,1881858140,503984,309 KNAPPTON RD,,NASELLE,Pacific,Western/other WA,98638,3604847161,46.365532087553,-123.811065284435,Match,"309 KNAPPTON RD, NASELLE, WA, 98638",Census geocoder,CMS RHC Enrollments 2026-04-01
PUBLIC HOSPITAL DISTRICT 3 OF PACIFIC COUNTY,PUBLIC HOSPITAL DISTRICT 3 OF PACIFIC COUNTY,OCEAN BEACH MEDICAL CLINIC,O20041119000763,1639165905,503988,176 1ST AVE N,,ILWACO,Pacific,Western/other WA,98624,3606423747,46.311764596682,-124.043273303645,Match,"176 1ST AVE N, ILWACO, WA, 98624",Census geocoder,CMS RHC Enrollments 2026-04-01
PUBLIC HOSPITAL DISTRICT 3 OF PACIFIC COUNTY,PUBLIC HOSPITAL DISTRICT 3 OF PACIFIC COUNTY,OCEAN BEACH MEDICAL GROUP - OCEAN PARK,O20171115003436,1417482191,508578,1501 BAY AVE,STE 201,OCEAN PARK,Pacific,Western/other WA,98640,3606426387,46.491608657519,-124.044155378144,Match,"1501 BAY AVE, OCEAN PARK, WA, 98640",Census geocoder,CMS RHC Enrollments 2026-04-01
PUBLIC HOSPITAL DISTRICT NO 1 OF MASON COUNTY,PUBLIC HOSPITAL DISTRICT NO 1 OF MASON COUNTY,MASON GENERAL HOSPITAL FAMILY HEALTH,O20160706001095,1164876629,508571,1812 N 13TH LOOP RD,,SHELTON,Mason,Western/other WA,98584,3604263862,47.225762940291,-123.112214704269,Match,"1812 N 13TH LOOP RD, SHELTON, WA, 98584",Census geocoder,CMS RHC Enrollments 2026-04-01
PUBLIC HOSPITAL DISTRICT NO 1 OF MASON COUNTY,PUBLIC HOSPITAL DISTRICT NO 1 OF MASON COUNTY,MASON GENERAL HOSPITAL OLYMPIC PHYSICIANS,O20131219001469,1306274667,508565,221 PROFESSIONAL WAY,,SHELTON,Mason,Western/other WA,98584,3604262500,47.224624855956,-123.112474303813,Match,"221 PROFESSIONAL WAY, SHELTON, WA, 98584",Census geocoder,CMS RHC Enrollments 2026-04-01
PUBLIC HOSPITAL DISTRICT NO 1 OF MASON COUNTY,PUBLIC HOSPITAL DISTRICT NO 1 OF MASON COUNTY,MASON GENERAL HOSPITAL OLYMPIC PHYSICIANS,O20131219001411,1205264561,508564,237 PROFESSIONAL WAY,,SHELTON,Mason,Western/other WA,98584,3604262500,47.224613476916,-123.112112451641,Match,"237 PROFESSIONAL WAY, SHELTON, WA, 98584",Census geocoder,CMS RHC Enrollments 2026-04-01
PUBLIC HOSPITAL DISTRICT NO 1 OF MASON COUNTY,PUBLIC HOSPITAL DISTRICT NO 1 OF MASON COUNTY,MASON HEALTH HOODSPORT PRIMARY CARE,O20131220001296,1467881326,508566,24261 N US HIGHWAY 101,,HOODSPORT,Mason,Western/other WA,98548,3604327781,47.406306575541,-123.140774353049,Match,"24261 N US HWY 101, HOODSPORT, WA, 98548",Census geocoder,CMS RHC Enrollments 2026-04-01
PUBLIC HOSPITAL DISTRICT NO 1 OF MASON COUNTY,PUBLIC HOSPITAL DISTRICT NO 1 OF MASON COUNTY,MASON HEALTH-EVERGREEN CLINIC,O20130325000440,1679803126,508551,1812 N 13TH LOOP RD,,SHELTON,Mason,Western/other WA,98584,3604262653,47.225762940291,-123.112214704269,Match,"1812 N 13TH LOOP RD, SHELTON, WA, 98584",Census geocoder,CMS RHC Enrollments 2026-04-01
PUBLIC HOSPITAL DISTRICT NO 1 OF MASON COUNTY,PUBLIC HOSPITAL DISTRICT NO 1 OF MASON COUNTY,MASON HEALTH-MASON CLINIC,O20090827000532,1598906455,508549,1701 N 13TH ST,,SHELTON,Mason,Western/other WA,98584,3604262653,47.224649085134,-123.113092091699,Match,"1701 N 13TH ST, SHELTON, WA, 98584",Census geocoder,CMS RHC Enrollments 2026-04-01
PUBLIC HOSPITAL DISTRICT NO 1 OF MASON COUNTY,PUBLIC HOSPITAL DISTRICT NO 1 OF MASON COUNTY,MASON HEALTH-OAKLAND BAY PRIMARY CARE,O20130325000347,1619180213,508527,247 PROFESSIONAL WAY,,SHELTON,Mason,Western/other WA,98584,3604263102,47.224606365016,-123.111886294034,Match,"247 PROFESSIONAL WAY, SHELTON, WA, 98584",Census geocoder,CMS RHC Enrollments 2026-04-01
PUBLIC HOSPITAL DISTRICT NO 2 SKAGIT COUNTY WASHINGTON,PUBLIC HOSPITAL DISTRICT NO 2 SKAGIT COUNTY WASHINGTON,ANACORTES FAMILY MEDICINE,O20040513000726,1649288176,508505,2511 M AVE STE B,,ANACORTES,Skagit,Western/other WA,98221,3602994211,48.501969102788,-122.6173663464,Match,"2511 M AVE, ANACORTES, WA, 98221",Census geocoder,CMS RHC Enrollments 2026-04-01
PUBLIC HOSPITAL DISTRICT NO 2 SKAGIT COUNTY WASHINGTON,PUBLIC HOSPITAL DISTRICT NO 2 SKAGIT COUNTY WASHINGTON,FIDALGO MEDICAL ASSOCIATES,O20081211000836,1245481720,508548,1213 24TH ST STE 100,,ANACORTES,Skagit,Western/other WA,98221,3602933101,48.502846610535,-122.615920570749,Match,"1213 24TH ST, ANACORTES, WA, 98221",Census geocoder,CMS RHC Enrollments 2026-04-01
PUBLIC HOSPITAL DISTRICT NO 2 SKAGIT COUNTY WASHINGTON,PUBLIC HOSPITAL DISTRICT NO 2 SKAGIT COUNTY WASHINGTON,ISLAND PRIMARY CARE - ORCAS,O20211014001162,1245827781,508595,7 DEYE LN,,EASTSOUND,San Juan,Western/other WA,98245,3603762561,48.702868093796,-122.903027089529,Match,"7 DEYE LN, EASTSOUND, WA, 98245",Census geocoder,CMS RHC Enrollments 2026-04-01
PUBLIC HOSPITAL DISTRICT NO 4 KING COUNTY WASHINGTON,PUBLIC HOSPITAL DISTRICT NO 4 KING COUNTY WASHINGTON,SNOQUALMIE RIDGE MEDICAL CLINIC,O20180213003060,1194237131,508580,35020 SE KINSEY ST,,SNOQUALMIE,King,Western/other WA,98065,4253967682,47.530929205507,-121.872983256853,Match,"35020 SE KINSEY ST, SNOQUALMIE, WA, 98065",Census geocoder,CMS RHC Enrollments 2026-04-01
PUBLIC HOSPITAL DISTRICT NO 4 KING COUNTY WASHINGTON,PUBLIC HOSPITAL DISTRICT NO 4 KING COUNTY WASHINGTON,SNOQUALMIE VALLEY HOSPITAL CLINIC,O20180209002443,1558869289,508579,9801 FRONTIER AVE SE,,SNOQUALMIE,King,Western/other WA,98065,4258312313,47.512263561519,-121.884722942298,Match,"9801 FRONTIER AVE SE, SNOQUALMIE, WA, 98065",Census geocoder,CMS RHC Enrollments 2026-04-01
"PUBLIC HOSPITAL DISTRICT NO. 2, KLICKITAT COUNTY, WASHINGTON","PUBLIC HOSPITAL DISTRICT NO. 2, KLICKITAT COUNTY, WASHINGTON",SKYLINE MEDICAL CLINIC,O20171128001945,1467961250,508573,212 NE SKYLINE DR,,WHITE SALMON,Klickitat,Eastern WA,98672,5096372810,45.723146750041,-121.470344678133,Match,"212 NE SKYLINE DR, WHITE SALMON, WA, 98672",Census geocoder,CMS RHC Enrollments 2026-04-01
SHC MEDICAL CENTER TOPPENISH,SHC HOLDCO LLC,ASTRIA HEALTH,O20190109002710,1659809457,508581,1016 TACOMA AVE,,SUNNYSIDE,Yakima,Eastern WA,98944,5098653105,46.32234023828,-120.006991540695,Match,"1016 TACOMA AVE, SUNNYSIDE, WA, 98944",Census geocoder,CMS RHC Enrollments 2026-04-01
SHC MEDICAL CENTER TOPPENISH,SHC HOLDCO LLC,ASTRIA HEALTH CENTER,O20190102003109,1013492784,508586,1420 AHTANUM RIDGE DR,,UNION GAP,Yakima,Eastern WA,98903,5094547700,46.556766957617,-120.496908424748,Match,"1420 AHTANUM RIDGE DR, UNION GAP, WA, 98903",Census geocoder,CMS RHC Enrollments 2026-04-01
SUNNYSIDE COMMUNITY HOSPITAL ASSOCIATION,ASTRIA HEALTH,ASTRIA HEALTH CENTER,O20050322000418,1689671984,508540,208 N EUCLID RD,,GRANDVIEW,Yakima,Eastern WA,98930,5098821855,46.254972024934,-119.915663676652,Match,"208 EUCLID RD, GRANDVIEW, WA, 98930",Census geocoder,CMS RHC Enrollments 2026-04-01
SUNNYSIDE COMMUNITY HOSPITAL ASSOCIATION,ASTRIA HEALTH,ASTRIA HEALTH CENTER,O20050221000156,1740289560,508539,222 E 2ND ST,,GRANDVIEW,Yakima,Eastern WA,98930,5092036501,46.254752908362,-119.900095609932,Match,"222 E 2ND ST, GRANDVIEW, WA, 98930",Census geocoder,CMS RHC Enrollments 2026-04-01
SUNNYSIDE COMMUNITY HOSPITAL ASSOCIATION,ASTRIA HEALTH,ASTRIA HEALTH CENTER,O20070430000513,1851397426,508546,1812 E EDISON AVE,,SUNNYSIDE,Yakima,Eastern WA,98944,5097123295,46.323807505461,-119.998621011471,Match,"1812 E EDISON AVE, SUNNYSIDE, WA, 98944",Census geocoder,CMS RHC Enrollments 2026-04-01
SUNNYSIDE COMMUNITY HOSPITAL ASSOCIATION,ASTRIA HEALTH,ASTRIA HEALTH CENTER,O20131106001676,1407289184,508569,2201 E EDISON RD,,SUNNYSIDE,Yakima,Eastern WA,98944,5098373090,46.323849005606,-119.99343807036,Match,"2201 E EDISON RD, SUNNYSIDE, WA, 98944",Census geocoder,CMS RHC Enrollments 2026-04-01
SUNNYSIDE COMMUNITY HOSPITAL ASSOCIATION,ASTRIA HEALTH,ASTRIA HEALTH CENTER,O20130725000146,1841639119,508563,2705 E LINCOLN AVE,,SUNNYSIDE,Yakima,Eastern WA,98944,5098371571,46.316740464771,-119.987997982318,Match,"2705 E LINCOLN AVE, SUNNYSIDE, WA, 98944",Census geocoder,CMS RHC Enrollments 2026-04-01
SUNNYSIDE COMMUNITY HOSPITAL ASSOCIATION,SUNNYSIDE COMMUNITY HOSPITAL ASSOCIATION,ASTRIA HEALTH CENTER,O20050221000162,1679521637,508538,803 E LINCOLN AVE,,SUNNYSIDE,Yakima,Eastern WA,98944,5098376911,46.316447915711,-120.009945560746,Match,"803 E LINCOLN AVE, SUNNYSIDE, WA, 98944",Census geocoder,CMS RHC Enrollments 2026-04-01
SUNNYSIDE COMMUNITY HOSPITAL ASSOCIATION,ASTRIA HEALTH,ASTRIA HEALTH CENTER,O20080721000510,1467464396,508547,803 E LINCOLN AVE,,SUNNYSIDE,Yakima,Eastern WA,98944,5098376911,46.316447915711,-120.009945560746,Match,"803 E LINCOLN AVE, SUNNYSIDE, WA, 98944",Census geocoder,CMS RHC Enrollments 2026-04-01
SUNNYSIDE COMMUNITY HOSPITAL ASSOCIATION,ASTRIA HEALTH,ASTRIA URGENT CARE CENTER,O20141230000948,1912305905,508570,355 CHARDONNAY AVE,,PROSSER,Benton,Eastern WA,99350,5097816366,46.218357969151,-119.786833154998,Match,"355 CHARDONNAY AVE, PROSSER, WA, 99350",Census geocoder,CMS RHC Enrollments 2026-04-01
"SWOFFORD & HALMA CLINIC, INC. P.S.","SWOFFORD & HALMA CLINIC, INC. P.S.","SWOFFORD & HALMA CLINIC, INC. P.S.",O20051012000213,1992758486,503908,2303  REITH WAY,,SUNNYSIDE,Yakima,Eastern WA,98944,5098373933,46.325393912257,-119.982155533897,Match,"2303 REITH WAY, SUNNYSIDE, WA, 98944",Census geocoder,CMS RHC Enrollments 2026-04-01
TULALIP TRIBES OF WASHINGTON,TULALIP TRIBES OF WASHINGTON,TULALIP HEALTH CLINIC,O20040325000954,1770531501,503809,7520 TOTEM BEACH ROAD,,TULALIP,Snohomish,Western/other WA,98271,3607164511,48.064246046109,-122.283143039614,Match,"7520 TOTEM BEACH RD, TULALIP, WA, 98271",Census geocoder,CMS RHC Enrollments 2026-04-01
WHIDBEY ISLAND PUBLIC HOSPITAL DISTRICT,WHIDBEY ISLAND PUBLIC HOSPITAL DISTRICT,WHIDBEYHEALTH PRIMARY CARE - CABOT,O20171129003305,1982116901,508584,275 SE CABOT DR,STE B101,OAK HARBOR,Island,Western/other WA,98277,3606756648,48.295762033656,-122.654329790642,Match,"275 SE CABOT DR, OAK HARBOR, WA, 98277",Census geocoder,CMS RHC Enrollments 2026-04-01
WHIDBEY ISLAND PUBLIC HOSPITAL DISTRICT,WHIDBEY ISLAND PUBLIC HOSPITAL DISTRICT,WHIDBEYHEALTH PRIMARY CARE - CLINTON,O20030417000036,1154361590,508506,11245 STATE ROUTE 525,,CLINTON,Island,Western/other WA,98236,3603415252null,47.995424407336,-122.400738591735,Match,"11245 STATE RTE 525, CLINTON, WA, 98236",Census geocoder,CMS RHC Enrollments 2026-04-01
WHIDBEY ISLAND PUBLIC HOSPITAL DISTRICT,WHIDBEY ISLAND PUBLIC HOSPITAL DISTRICT,WHIDBEYHEALTH PRIMARY CARE - COUPEVILLE,O20180925001445,1679115810,508583,77 N MAIN ST,,COUPEVILLE,Island,Western/other WA,98239,3606822814,48.213882476476,-122.686032420485,Match,"77 N MAIN ST, COUPEVILLE, WA, 98239",Census geocoder,CMS RHC Enrollments 2026-04-01
WHIDBEY ISLAND PUBLIC HOSPITAL DISTRICT,WHIDBEY ISLAND PUBLIC HOSPITAL DISTRICT,WHIDBEYHEALTH PRIMARY CARE - FREELAND,O20171129002936,1164934188,508585,5486 HARBOR AVE,,FREELAND,Island,Western/other WA,98249,3603315060,48.010115002427,-122.527267619754,Match,"5486 HARBOR RD, FREELAND, WA, 98249",Census geocoder,CMS RHC Enrollments 2026-04-01
WHIDBEY ISLAND PUBLIC HOSPITAL DISTRICT,WHIDBEY ISLAND PUBLIC HOSPITAL DISTRICT,WHIDBEYHEALTH PRIMARY CARE - GOLDIE ST.,O20030417000034,1467497636,503996,1300 NE GOLDIE ST,,OAK HARBOR,Island,Western/other WA,98277,3606795590,48.3091622,-122.6433962,No_Match,,Nominatim address fallback,CMS RHC Enrollments 2026-04-01
